id,golden,label,confidence,url
3316,FALSE,Negative,1,http://farm1.static.flickr.com/4/5799991_02fcb1ccfd.jpg
2612,FALSE,Positive,0.6667,http://farm4.static.flickr.com/3085/2636986265_1548c0f131.jpg
12917,FALSE,Negative,0.6671,http://farm1.static.flickr.com/32/43554245_4683813f8e.jpg
2819,FALSE,Positive,1,http://farm2.static.flickr.com/1254/555602711_0b73414d59.jpg
9259,FALSE,Negative,0.6662,http://farm1.static.flickr.com/186/432818132_341a24cee4.jpg
220,TRUE,Positive,0.8011,http://farm1.staticflickr.com/11/12787813_2dac86fdd4.jpg
7746,FALSE,Neutral,0.6624,http://farm3.static.flickr.com/2012/2263189044_c98a6207d0.jpg
60,TRUE,Positive,0.7196,http://farm3.staticflickr.com/2381/2130366863_c2a780990e.jpg
15173,FALSE,Positive,1,http://farm3.static.flickr.com/2400/2069335294_04d34ffa73.jpg
2549,FALSE,Positive,0.6596,http://farm2.static.flickr.com/1164/589033516_6565c25b6a.jpg
15122,FALSE,Positive,0.6705,http://farm1.static.flickr.com/32/49528278_f32624f13f.jpg
14375,FALSE,Neutral,0.6679,http://farm3.static.flickr.com/2263/2148547545_18d7761b4a.jpg
4562,FALSE,Positive,1,http://farm3.static.flickr.com/2175/2039252146_abb47a7f40.jpg
13875,FALSE,Positive,1,http://farm4.static.flickr.com/3083/2640088490_642abb701b.jpg
2458,FALSE,Highly negative,1,http://farm4.static.flickr.com/3091/2731830608_eb7124c5c5.jpg
6984,FALSE,Positive,0.6652,http://farm1.static.flickr.com/48/161053311_0e7c35c2a9.jpg
4098,FALSE,Positive,0.6644,http://farm4.static.flickr.com/3084/2297376190_24707046c3.jpg
7519,FALSE,Positive,0.6608,http://farm2.static.flickr.com/1318/601811229_a942626135.jpg
462,TRUE,Negative,0.5173,http://farm4.staticflickr.com/3224/3047363210_47a120c7ce.jpg
13765,FALSE,Negative,0.666,http://farm4.static.flickr.com/3052/2577949571_b94b3f92a3.jpg
6848,FALSE,Neutral,1,http://farm4.static.flickr.com/3155/2615631541_56cbf677d1.jpg
15234,FALSE,Neutral,1,http://farm3.static.flickr.com/2228/2496884874_80533cc1eb.jpg
6483,FALSE,Positive,1,http://farm1.static.flickr.com/12/90649887_f999d6bc55.jpg
12143,FALSE,Neutral,0.6579,http://farm3.static.flickr.com/2125/1859840410_0ca313dcda.jpg
11467,FALSE,Neutral,0.6644,http://farm1.static.flickr.com/24/43439911_6d50832432.jpg
8954,FALSE,Positive,0.6687,http://farm2.static.flickr.com/1190/885191037_528c95111a.jpg
6821,FALSE,Positive,0.6682,http://farm1.static.flickr.com/98/242465814_38dbe77b13.jpg
3709,FALSE,Neutral,1,http://farm4.static.flickr.com/3097/2445745392_f0be6400e8.jpg
5666,FALSE,Positive,1,http://farm3.static.flickr.com/2086/2406388822_83ccfd1e9e.jpg
11434,FALSE,Positive,1,http://farm1.static.flickr.com/45/119568616_658a258636.jpg
5655,FALSE,Positive,1,http://farm3.static.flickr.com/2079/2079093373_795c3321d9.jpg
3448,FALSE,Neutral,0.6626,http://farm1.static.flickr.com/56/159013378_94d6d3ebdf.jpg
399,TRUE,Highly negative,0.718,http://farm6.staticflickr.com/5143/5660320466_75c485f73a.jpg
7188,FALSE,Neutral,0.6593,http://farm1.static.flickr.com/46/138915112_4548834b1e.jpg
13810,FALSE,Negative,0.6655,http://farm2.static.flickr.com/1121/1434644908_bc38d93bc7.jpg
9377,FALSE,Negative,1,http://farm4.static.flickr.com/3170/2690907066_de3bab7c8b.jpg
